,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
439,442,Luke Farrell,SF,TE,8.9,,,,,,,,,
440,443,Trent Sherfield Sr.,Den,WR,8.9,,,,,,,,,
441,444,Antonio Gibson,NE,RB,8.9,,,,,,,,,
442,445,Skyy Moore,SF,WR,8.8,,,,,,,,,
443,446,Blake Whiteheart,Cle,TE,8.8,,,,,,,,,
444,447,Eric Saubert,Sea,TE,8.8,,,,,,,,,
445,448,Bryce Oliver,Ten,WR,8.6,,,,,,,,,
446,449,Gage Larvadain,Cle,WR,8.4,,,,,,,,,
447,450,Durham Smythe,Chi,TE,8.3,,,,,,,,,
448,451,Jalin Hyatt,NYG,WR,7.9,,,,,,,,,
449,452,Craig Reynolds,Det,RB,7.8,,,,,,,,,
450,453,John Metchie III,Phi,WR,7.3,,,,,,,,,
451,454,Rasheen Ali,Bal,RB,7.1,,,,,,,,,
452,455,Patrick Ricard,Bal,RB,7.0,,,,,,,,,
453,456,Hassan Haskins,LAC,RB,7.0,,,,,,,,,
454,457,DeAndre Carter,Cle,WR,6.9,,,,,,,,,
455,458,Bam Knight,Ari,RB,6.6,,,,,,,,,
456,459,C.J. Ham,Min,RB,6.5,TE,MIN,73.1,7.01,513.0,49.0,113.0,9.0,6.0
457,460,Dee Eskridge,Mia,WR,5.4,,,,,,,,,
458,461,Mitchell Tinsley,Cin,WR,5.3,,,,,,,,,
459,462,Devontez Walker,Bal,WR,5.3,,,,,,,,,
460,463,Jared Wiley,KC,TE,5.1,,,,,,,,,
461,464,Tanner Hudson,Cin,TE,5.0,,,,,,,,,
462,465,Nate Adkins,Den,TE,4.9,,,,,,,,,
463,466,Konata Mumpfield,LAR,WR,4.8,,,,,,,,,
464,467,Davis Allen,LAR,TE,4.8,,,,,,,,,
465,468,Tylan Wallace,Bal,WR,4.8,,,,,,,,,
466,469,Tucker Fisk,LAC,TE,4.7,,,,,,,,,
467,470,Justin Watson,Hou,WR,4.7,,,,,,,,,
468,471,Teagan Quitoriano,Atl,TE,4.6,,,,,,,,,
469,472,KeAndre Lambert-Smith,LAC,WR,4.6,WR,PHI,48.3,4.12,732.0,34.0,68.0,5.3,9.0
470,473,Mitchell Evans,Car,TE,4.6,,,,,,,,,
471,474,Hunter Long,Jax,TE,4.5,,,,,,,,,
472,475,Jackson Hawes,Buf,TE,4.4,,,,,,,,,
473,476,Xavier Weaver,Ari,WR,4.4,,,,,,,,,
474,477,Jack Westover,NE,TE,4.4,,,,,,,,,
475,478,Feleipe Franks,Atl,TE,4.4,,,,,,,,,
476,479,Chris Manhertz,NYG,TE,4.3,,,,,,,,,
477,480,Connor Heyward,Pit,TE,4.3,,,,,,,,,
478,481,Tyrell Shavers,Buf,WR,4.3,,,,,,,,,
479,482,Malik Heath,GB,WR,4.2,,,,,,,,,
480,483,Drew Ogletree,Ind,TE,4.1,,,,,,,,,
481,484,Beaux Collins,NYG,WR,4.1,,,,,,,,,
482,485,Cody White,Sea,WR,4.1,,,,,,,,,
483,486,Anthony Gould,Ind,WR,4.1,,,,,,,,,
484,487,Dylan Laube,LV,RB,4.1,,,,,,,,,
485,488,Ashton Dulin,Ind,WR,4.0,,,,,,,,,
486,489,Mason Tipton,NO,WR,3.9,,,,,,,,,
487,490,Robbie Ouzts,Sea,RB,3.9,,,,,,,,,
488,491,Will Mallory,Ind,TE,3.9,,,,,,,,,
489,492,Ben Skowronek,Pit,WR,3.8,,,,,,,,,
490,493,Kylen Granson,Phi,TE,3.8,,,,,,,,,
491,494,Stone Smartt,NYJ,TE,3.7,,,,,,,,,
492,495,Xavier Smith,LAR,WR,3.1,WR,SEA,33.0,3.09,1866.0,21.0,48.0,4.4,8.0
493,496,Nikko Remigio,KC,WR,2.9,,,,,,,,,
494,497,Jordan James,SF,RB,2.7,,,,,,,,,
495,498,Josh Williams,TB,RB,2.6,,,,,,,,,
496,499,Tyson Bagent,Chi,QB,2.5,,,,,,,,,
497,500,Trey Lance,LAC,QB,2.5,,,,,,,,,
498,501,Jarrett Stidham,Den,QB,2.4,,,,,,,,,
499,502,Nick Mullens,Jax,QB,2.4,,,,,,,,,
500,503,Malik Willis,GB,QB,2.4,,,,,,,,,
501,504,Zach Wilson,Mia,QB,2.4,,,,,,,,,
502,505,Andy Dalton,Car,QB,2.4,,,,,,,,,
503,506,Charlie Jones,Cin,WR,2.3,,,,,,,,,
504,507,Cooper Rush,Bal,QB,2.3,,,,,,,,,
505,508,Davis Mills,Hou,QB,2.3,,,,,,,,,
506,509,Jacoby Brissett,Ari,QB,2.2,,,,,,,,,
507,510,Joshua Dobbs,NE,QB,2.2,,,,,,,,,
