,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
412,415,Tim Jones,Min,WR,17.1,RB,MIN,61.5,6.02,694.0,46.0,75.0,5.9,6.0
413,416,Jeremy Ruckert,NYJ,TE,17.0,,,,,,,,,
414,417,Tyquan Thornton,KC,WR,17.0,,,,,,,,,
415,418,Dante Pettis,NO,WR,16.9,,,,,,,,,
416,419,Daniel Bellinger,NYG,TE,16.6,,,,,,,,,
417,420,Kendrick Bourne,NE,WR,15.3,,,,,,,,,
418,421,Drew Sample,Cin,TE,15.2,,,,,,,,,
419,422,Colby Parkinson,LAR,TE,14.7,,,,,,,,,
420,423,Tez Johnson,TB,WR,13.9,,,,,,,,,
421,424,Darnell Washington,Pit,TE,13.5,,,,,,,,,
422,425,Mo Alie-Cox,Ind,TE,13.4,,,,,,,,,
423,426,Jonathan Mingo,Dal,WR,13.4,,,,,,,,,
424,427,Tommy Mellott,LV,WR,13.3,,,,,,,,,
425,428,Hunter Renfrow,Car,WR,13.0,,,,,,,,,
426,429,Payne Durham,TB,TE,12.0,,,,,,,,,
427,430,Jamal Agnew,Atl,WR,11.9,,,,,,,,,
428,431,Michael Burton,Den,RB,11.0,,,,,,,,,
429,432,Jordan Watkins,SF,WR,10.1,,,,,,,,,
430,433,Brevyn Spann-Ford,Dal,TE,10.0,RB,CLE,143.3,12.11,288.0,92.0,180.0,19.7,9.0
431,434,Jalen Royals,KC,WR,10.0,,,,,,,,,
432,435,Jeremy McNichols,Wsh,RB,9.9,,,,,,,,,
433,436,Brock Wright,Det,TE,9.8,,,,,,,,,
434,437,Pharaoh Brown,Mia,TE,9.5,,,,,,,,,
435,438,Isaac TeSlaa,Det,WR,9.3,,,,,,,,,
436,439,C.J. Ham,Min,RB,9.2,TE,MIN,73.8,7.02,569.0,51.0,102.0,8.7,6.0
437,440,Ian Thomas,LV,TE,9.1,WR,JAX,14.7,2.03,1826.0,7.0,24.0,2.8,8.0
438,441,John Bates,Wsh,TE,9.0,,,,,,,,,
439,442,Tip Reiman,Ari,TE,8.9,,,,,,,,,
440,443,Luke Farrell,SF,TE,8.9,,,,,,,,,
441,444,Damien Martinez,Sea,RB,8.9,,,,,,,,,
442,445,Eric Saubert,Sea,TE,8.8,,,,,,,,,
443,446,Ty Chandler,Min,RB,8.8,,,,,,,,,
444,447,Austin Trammell,Jax,WR,8.7,,,,,,,,,
445,448,Michael Gallup,Wsh,WR,8.7,,,,,,,,,
446,449,Ihmir Smith-Marsette,NYG,WR,8.6,WR,PHI,49.4,5.01,1195.0,36.0,69.0,5.1,9.0
447,450,Bryce Oliver,Ten,WR,8.6,,,,,,,,,
448,451,Charlie Kolar,Bal,TE,8.5,,,,,,,,,
449,452,Isaiah Bond,Cle,WR,8.5,,,,,,,,,
450,453,Durham Smythe,Chi,TE,8.3,,,,,,,,,
451,454,DeeJay Dallas,Ari,RB,8.1,,,,,,,,,
452,455,Scotty Miller,Pit,WR,8.1,,,,,,,,,
453,456,Jalin Hyatt,NYG,WR,7.9,,,,,,,,,
454,457,Craig Reynolds,Det,RB,7.6,,,,,,,,,
455,458,John Metchie III,Phi,WR,7.3,,,,,,,,,
456,459,Devin Duvernay,Chi,WR,7.3,,,,,,,,,
457,460,Rasheen Ali,Bal,RB,7.1,,,,,,,,,
458,461,Patrick Ricard,Bal,RB,7.0,,,,,,,,,
459,462,Jacob Cowing,SF,WR,6.9,,,,,,,,,
460,463,Kimani Vidal,LAC,RB,6.8,,,,,,,,,
461,464,Britain Covey,LAR,WR,6.6,,,,,,,,,
462,465,Carson Steele,KC,RB,6.6,,,,,,,,,
463,466,Ryan Flournoy,Dal,WR,6.0,,,,,,,,,
464,467,Malik Heath,GB,WR,5.4,,,,,,,,,
465,468,Xavier Gipson,NYJ,WR,5.4,,,,,,,,,
466,469,Dee Eskridge,Mia,WR,5.4,,,,,,,,,
467,470,Mitchell Tinsley,Cin,WR,5.3,,,,,,,,,
468,471,Audric Estime,Den,RB,5.1,,,,,,,,,
469,472,Jared Wiley,KC,TE,5.1,,,,,,,,,
470,473,Tanner Conner,Mia,TE,5.0,,,,,,,,,
471,474,Tanner Hudson,Cin,TE,5.0,,,,,,,,,
472,475,Nate Adkins,Den,TE,4.9,,,,,,,,,
473,476,Gavin Bartholomew,Min,TE,4.9,,,,,,,,,
474,477,Davis Allen,LAR,TE,4.8,,,,,,,,,
475,478,Tylan Wallace,Bal,WR,4.8,,,,,,,,,
476,479,Tucker Fisk,LAC,TE,4.7,,,,,,,,,
477,480,Lucas Krull,Den,TE,4.6,,,,,,,,,
478,481,KeAndre Lambert-Smith,LAC,WR,4.6,WR,PHI,49.4,5.01,1195.0,36.0,69.0,5.1,9.0
479,482,Mitchell Evans,Car,TE,4.5,,,,,,,,,
